Enemy,Player Energy,Enemy Energy
1,100.0,0.0
2,70.0,0.0
3,82.0,0.0
4,0.0,70.0
5,70.00000000000028,0.0
6,0.0,90.0
7,0.0,10.0
8,0.0,10.0
